,reviews
0,"Not Verified |  With Newark Airport experiencing so many problems right now, I asked AA to change a flight for my 88 year old mother who will be flying this weekend. I asked for them to change her to a flight traveling to Lehigh Valley vs. Newark to forego any unforeseen problems. Due to her flight being a basic economy, I was told no. I asked to speak to a manager, was given one, then told managers above that level don't accept phone calls. The absolute unwillingness to help an 88 year old woman, and the complete lack of customer service has turned me off to AA forever. We will never fly this airline again."
1,"Not Verified |  Absolutely unacceptable experience with American Airlines. Our Friday evening flight was delayed from 7:00 PM to 11:00 PM, pushing our arrival to 1:30 AM—well past our car rental pickup window. Since my wife had plans to stay with her aunt, we accepted American’s offer to reschedule for a 9:00 AM flight the next morning. We rearranged our entire trip—appointments, schedules, everything—around that new plan. Then, without warning, the morning flight was delayed again… to 5:00 PM. At that point, the entire purpose of our trip was ruined. We had to cancel everything, and now there’s absolutely no reason to even go. American Airlines completely derailed our plans, wasted our time, and left us with zero confidence in their ability to manage or communicate effectively. This was our last time flying with you. Never again."
2,"Not Verified |  First delay happened in Arkansas. Was delayed by about an hour. Got to DFW late for connecting flight. That got delayed and then canceled, rebooted delayed canceled, rebooted, delayed canceled, rebooted again and still wound up having to stay in DFW for over 12 HOURS. Got told that they don't do refunds, which is actually against their own published policy. Basically, a 5 and a half hour total time flight turned into a 17 +/- hour long flight. While I was left stranded at DFW, I witnessed several other flights being canceled for various reasons."
3,"✅ Trip Verified |   I was desperate to get to Arizona in 2023 to help my son who was experiencing a very serious health crisis and was in an extremely dangerous situation. The agents basically shut the doors in my face and were not helpful, kind or understanding. The situation required me to get on the most immediate flight on any airline that would get me there as soon as possible. Eventually, I was given a flight credit but American Airline did not explain the short nature of the credit and never sent a courtesy email or anything. Now I find out they have erased my credit. I don't expect the airline to care enough about me to do anything so flying American would bring up many bad feelings and memories."
4,"✅ Trip Verified |   Travelling first class on a domestic flight within America is typically not something to write home about. That is – unless you’re flying with American Airlines from LAX to JFK. If so, make sure to fly on their direct flight with an Airbus A321 aircraft that was specifically designed and configured for these transcontinental flights. In fact, it has it’s on aircraft type – an A321T (the T stands for Transcontinental). First Class is a separate cabin at the font of the aircraft. Here you’ll find 10 individual first-class open suite - 5 rows with one on either side so each has windows and direct aisle access. This was quite a surprise for a single aisle narrow body jet. There was one dedicated flight attendant for all 10 passengers so kept pretty busy for the entire flight. He was bright and attentive. The breakfast meal was a pretty average affair but my expectations were low based on the airline’s reputation. The seat converts to a full lay-flat bed and was very comfortable and with fluffy pillows and blanket. I fell asleep easily and slept well for a few hours and woke to the smell of cookies being freshly baked in the forward galley. This was a nice touch and something the flight attendant clearly enjoyed doing. The wait for the luggage to arrive at the belt was particularly long and stressful when you are getting constant phone calls from your driver to check if it’s arrived."
5,Not Verified |   Do not travel on American Airlines unless you have no other choice which was and is my case. This review refers only to American Airlines telephone customer service; before my return trip next week I needed to ask AA something concern my flight. The local number that I had is disconnected and no new number provided. Consequently I had to make a long distance overseas call for which I was billed long distance telephone charges that lasted almost fifteen minutes before the AA representative was able to give a local number which was not disconnected.
6,"✅ Trip Verified |   I knew there was something wrong with the entertainment system before we left LAX because I had watched the huddle of technicians from my seat. They had removed the cover off a rather large panel and were pushing buttons and muttering. My suspicions were confirmed when there was no safety video and they did it the old fashioned way with the crew standing in the aisle with an oxygen mask in one hand and a life vest around their necks. However, they didn’t say a word about it to the passengers until we were in the air and well on our way to Sydney. I guess they figured the reaction of learning you faced 15 hours without movies, music or games would be less in the air than on the ground. Well, at least I could enjoy the leisurely pace of the first class meal service; so I thought. But clearly the 2 male flight attendants looking after the first class cabin had better things to do. The service was practically over before it began. The courses came so fast I could barely keep up and the food was terrible. All in all it was one of the worst flights I’ve had in years and the 2 guys looking after first class should retire and pass the mantle to someone less jaded."
7,"✅ Trip Verified |   Had a great flight in from Tampa on our way to 5 national parks in Utah. Chance and Erico were fantastic, spectacular service and took great care of us."
8,"Not Verified |  My daughter and I were traveling from Norfolk VA to Boston MA on April 8, 2025. We had a flight that was suppose to depart at 8:06AM leaving from Norfolk with a connection in Philadelphia then on to Boston arriving around 10:30-11am. We were at the Norfolk airport at 7am waiting for our flight to board when the 1st delay was announced for 2 hours. We went up to the ticket counter and the agent was able to rebook us on a different connecting flight only delaying us about 2 hours. The second delay of 6 hours was announced about an hour before the second boarding was suppose to happen. And the announcement was to call American customer service to rebook again. I did call customer service and was rebooked on a different flight going to Laguardia airport and we had to wait 3 hours for this flight to depart. This short flight on a smaller plane was extremely turbulent on the last half and my daughter and I were so nauseated and exhausted. The layover in Laguardia was another 2-3 hours. At least Laguardia had a nice food court and we were able to sit and have lunch. The flight to Boston was uneventful.  I am very disappointed in the delays and handling of passengers by American Airlines. This delay should have been called much earlier. They announced it was due to mechanical issues. Why not inspect the planes more frequently and cancel flights at least 6-8 hours before the flight departs if any issues. That way passengers can be rebooked and notified ahead of time. And if this does happen last minute airlines should be required to offer cash or gift card or something. It was a horrible experience and day and one I will never forget. I plan on never flying with American again. And I will be letting my friends and family know what a bad experience this was so that this does not happen to them. I was not the only angry and disappointed passenger. I overheard other passengers stating this happens alot with American airlines,"
9,✅ Trip Verified |   I have flown five flights with American Airlines in the last 4 months. Each one has been delayed over 5 hours for mechanical problems. When you contact American Airlines they don't care they just blow you off. They don't care that they're delaying you missing appointments and connections.
10,"✅ Trip Verified |   My flight was originally for 6:15 am, this flight was delayed. I was issued a new ticket that required me to be stranded in Phoenix Arizona for 11 hours. I was originally supposed to arrive at my destination (Minneapolis) at 2:14 pm. My 6 hour trip turned into an all day event. Also, I just got word that my flight to Phoenix is, once again, delayed. I spent a lot of money for this trip... this may as well be a greyhound station."
11,"✅ Trip Verified |   My recent flight from Washington, D.C. (DCA) to Philadelphia (PHL) with American Eagle, operated by PSA Airlines, was smooth and efficient. We experienced a minor maintenance delay, but on a 27-minute flight, it hardly made a difference. The crew was pleasant and professional, ensuring a comfortable experience. The aircraft, a CRJ-900, is the largest in PSA’s fleet, offering a bit more space compared to their other planes. Given the short duration of the flight, there’s really nothing to complain about it was a quick, easy, and well-handled trip. Great job PSA!"
12,"✅ Trip Verified |   My Husband and I traveled on American Airlines Flight AA3089 to New York from Florida. We were extremely pleased traveling home on this plane. This was mainly due to Flight Attendant DeJon. DeJon made sure we were comfortable, asked us what drinks we wanted, and served us snacks and a very nice lunch. Mostly, he was so congenial and I could see he was working so hard taking care of the passengers. My Husband and I are seniors and I can honestly say that we very much appreciated DeJon. It made our flight enjoyable, and we were glad we flew with American Airlines."
13,"Not Verified | I had two flights booked between St. Louis and Chicago to meet up with friends for a vacation flight out of Chicago. There was impending weather, snow. I changed my flight on February 12 in the evening to 3:10 in the afternoon in order to get to Chicago in time for the next morning flight. I had to pay an additional $188 to change the flight. The flight was cancelled by the airline and I ended up on the same flight I was originally booked on! That flight was delayed but I did get to Chicago late Wednesday night. They refused to reimburse me for the extra amount paid for the cancelled flight! I should not have had to pay that fee when they cancelled the flight! On the way back to St. Louis there was potential weather. However, our flight from Mexico got into O'Hare with no problem. But my flight from Chicago to St. Louis had been delayed earlier that morning and there were no flights out of O'Hare (according the the RUDE American Airlines person) so I had to either sit in the airport for 13 hours or pay for a room - they refused to get me a room! They claimed weather as an excuse but there was no weather they had just tried to out-guess it and got it wrong. So I had to pay for a room, my bag again the next day because it couldn't be transferred, an extra day of parking and an extra day of care for my pet - $309! No customer service. Their supervisor was also uncaring and rude. I ended up falling on an escalator trying to get my bags around by myself due to them!!"
14,"Not Verified | Overnight flight was delayed twice for not enough crew and then no crew. Still no guarantee it will take off. Had to buy blankets, $60, and kids sleeping on the disgustingly dirty floor. Trying to get to a family member before they pass. How can you stay in business with this poor customer service? Your company needs a major overhaul. Someone has to be held accountable. "
15,"✅ Trip Verified |   Horrible experience. The online check-in didn’t work and the airport check-in experience was super complicated and took 1.5h so we almost missed our flight. My partner & I were assigned separate seats even though we were on the same booking. The agents there were very accommodating and were doing their best given the system restrictions. Apparently, the system didn’t recognize that we were only transiting in India and needed us to submit a visa for India which is not needed for transit. The agents specifically told us that it’s good that we didn’t bring checked luggage because we cannot leave the transit area. The agents at the gate forced us to give up the luggage under the premise that we would receive them directly when we exit the plane. There was lots of space on the plane to put carry-on luggage. Upon arrival, of course, our luggage was not there and the New Delhi staff told us we needed to pick up the luggage at the belt. So now, we can‘t receive the luggage and have been stuck at the airport for 2h at this point and missed our connecting flight while they‘re trying to figure out the situation. Also, our initial AA flight was 2h delayed as well. No food vouchers or any other compensation offered. Better communication and coordination among their teams would be appreciated for an airline that calls itself American Airlines."
16,"✅ Trip Verified |   My wife and I had a 1-stop flight from DFW to St Thomas, with a connecting flight out of Miami. Both flights, DFW to Miami and Miami to St Thomas were through American Airlines. Out flight from DFW to Miami was delayed by 2 hours due to mechanical failure, and all passengers were put on a different plane. The new flight landed in Miami 10 minutes before our connecting flight (Miami to St Thomas) took off, but American couldn't delay their flight 5 minutes to allow 9 passengers to make the last connecting flight out of St Thomas. So basically, we were stuck in Miami for the night and were booked on the first flight (8:30 am) the next morning. We were offered a hotel voucher at a cheap airport hotel; which was a far cry from the beach front resort that we had purchased (priced by the hotel at $620/night). My wife and I also had checked the bags with all of our clothes, so we didn't have a change of clothes until we reached our destination (St Thomas). On the next day we reached arrived at our gate early, but were told that our flight had been delayed due to weather and that we would be flying out 7 hours later. We later found out that this was a lie, and that really the cause for delay was that an emergency landing had been made on St Thomas' only landing strip, and that an hour and a half cleanup of the landing strip was required. All other airlines resumed flights within 2 hours. So, we spent another 7 hours in the airport waiting for our flight. All-in we spent 24 hours stuck in Miami without a change of clothes, most of it spent in the airport, when a 5-miute delay of one flight (that was on time) could have solved their own failure entirely. American Airlines' first attempt at compensation was to offer my wife and I 2500 aa points each. If you figure those points are worth about $0.01, then the total value of their compensation was $50 = 2 x 0.01 x 2500. After writing them an email explaining that I am prepared to take them to small claims court, they offered me and my wife each $100 travel vouchers. After I denied again, they offered us each $150 travel vouchers. After I denied again, they apologized but said there was no other offer. I also asked how much money American made on the sale of our seats, and they said the representative said he didn't know. Basically, American Airlines believes they are entitled to screw you over and doesn't care to compensate you for damages whatsoever. Not only that, everyone of their agents (rebooking/gate) are entitled and have a terrible attitude. Personally, I have no desire to fly with them again as any trust in this company's capacity to conduct honest business has been eviscerated."
17,"Not Verified |  American airlines is the only carrier that supports flights into Yuma, AZ, and with my employer always booking work trips with them, and my family needing to use them out of Yuma, we unfortunately fly with them everytime. There is an issue with delays, maintenance, forced rebooking, sitting on the taxiway both prior to takeoff and after, at least 80% of the time. It is not an exaggeration. It's mind blowing how they are never held accountable for terrible service and especially at the prices they charge. Too many times I've found myself in a dead sprint in the airport (Phoenix, Charlotte, Dallas, Philidelphia) trying to make my gate because of this poorly run business."
18,"✅ Trip Verified |   Seat Comfort was excellent. Legroom was excellent. The hard product is very good. The soft product is abysmal and food is unacceptable. Communication is poor. The staff is truly detached from their customers. Not just the flight attendants, but the gate agents and counter personnel. It seems like they don’t want to be at their job jobs. So detached that when we landed in Madrid, the purser welcomed us to Paris, France. I almost always fly British Airways. This time a segment was on American. Never again."
19,"✅ Trip Verified |   Terrible experience. First flight was delayed, forcing me to not walk but sprint to my connection which was on the total opposite side of the airport. And when I arrived at the ticket scanning desk, was met with an extremely rude attendant who gave me quite the attitude when she clearly saw that I was huffing and puffing in order to make this connection. She made me check my small suitcase at the gate because it “wasn’t gonna fit” in overhead storage. Meanwhile there was plenty of overhead space upon entering plane. This is important to remember for later. The second flight was fine, but after landing, made my way over to baggage claim after being met with, again, a very rude and dismissive agent who informed me that they put my suitcase with all the other large checked bags. Well, now I have been waiting at baggage claim 9 at JFK for over an hour with no sight of any suitcases. Not mine, not anyone’s! And quite honestly this is not what I needed after an exhausting work trip on a Saturday evening. I have serious beef with you American Airlines and will not be using you ever again."
20,"✅ Trip Verified |   Another horrible experience with AA. First you oversold the flight (again), which caused my wife and I to be the last two ticketed passengers for the flight despite the fact I purchased the tickets over 3 months prior and attempted to check in early. And while we barely made the flight, it caused a significant amount of stress to ourselves and our traveling party since we were the trip leaders of our group. Then you made us check our carry on baggage (which had become a common problem with AA for us), which caused additional problems at our layover since my wife had put her passport in her carry on. And when we finally were able to board, we discovered that there was plenty of room for more carry ons (one overhead bin was completely empty, plus other spaces). On our return flight, we were again required to check our carry on baggage and upon boarding found there was, again, plenty of remain space for bags. This made us run tight for our layover coming back to the US and required us to wait FORTY-FIVE MINUTES for our ""carry on"" baggage at our final destination, which was almost a midnight arrival already ( thanks to a 1 hr delay). As icing on the cake, the flight attendants from PUJ to ORD were quite testy with passengers and even each other. Overall, what a fun story to tell my friends. You guys need to change some policies."
21,"✅ Trip Verified |   My husband developed a high fever mid-flight, and despite informing the crew, not a single member offered assistance. No temperature check, no hydration, not even basic concern. I was left to tend to him, using a cold towel on his head while the crew ignored us.  When I approached them again a crew member rolled their eyes, made a face, and sarcastically muttered, “Oh, perfect. What do you need now?”. A high fever in a pressurized cabin is a serious concern, yet they acted as if we were nothing but a burden. They handed out meals with no regard for meal preferences and both times, I ended up with nothing because they ran out of choices.  I repeatedly asked for hot water for my husband. One crew member said, “I don’t have it on the cart.” Another promised to bring it but never came back. Yet this same crew member walked past my seat multiple times, ignoring me. The crew on this flight were rude, dismissive, and downright incompetent.  This was, the most emotionally draining, physically exhausting 14 hours of my life. "
22,"Not Verified |  I wanted to make a review for American Airlines flight crew member Kimo. He was our flight attendant from Fayetteville Regional Airport while on our way to Hawaii.  He was exceptionally lovely, fun, and caring! This tiny plane flight went from Fayettville to Charlotte, and even with the flight being so short, he gave us water. I am pregnant and he was extra caring for me to give me water and pretzels to help with the nausea. Thank you Kimo for being such a great part of my flight experience!"
23,"Not Verified |  Flew out of Albany Flight 440 2/13/25. Customer service atrocious. Check in was nice that’s all, but boarding attendants and flight attendants were the rudest people I’ve ever encountered. Not family oriented. Seems like they tried to make my trip harder with a toddler. Everything seemed like a bother. Asking us if we wanted a drink or snack annoyed them. Literally if you dislike people and want to ruin someone’s day apply to American Airlines. "
24,"Not Verified | I paid for an exit row seat in Premium Economy for the DFW to Seattle leg. The flight was missed due to mechanical issues. The surly gate agent issuing my ticket for a later flight informed me that although I was not in an exit row seat or Premium Economy, the price difference would be refunded. She lied. This never happened and when contacting customer service I was denied a refund. This is not the first time I’ve had issues with this paltry excuse for an airline. Delayed flights are standard as is a subpar onboard experience, including their onboard entertainment never working. In short, I will avoid flying them if there are any other airline options and would encourage others to do the same."
25,"Very pleasent experience. Charlotte airport easy to manage, easy check in and fast security line. Admirals Club available but not as good as the premiere lounges in NYC and MIA. Boarding on time, by groups. Once on board, crew nice but nothing special, seat very comfortable for PE, nice amenity kit. Service ok, hot towel to start with, then drinks and dinner. All in nice served and well managed by crew. IFE very good selection. Manage +4 hrs of sleep on a 7hr flight, so really good. Did not have breakfast since I was sleeping, no comment on that. Recommend this airline."
26,"Not Verified |  The seating was ridiculous. My husband's knees we against the seat in front of him for the entire flight. The plane was late, then we sat on the runway in Miami for 2 hours waiting to taxi. The ac didn't function properly. Heat was blowing out for 1 hr of the flight ... when it is 80 degrees outside. The flight attendants were very helpful during a medical issue, which was truly a blessing. Everything else was horrendous."
27,"Not Verified |  Should have read the reviews before we booked. Gate changed 2 times and delayed 4 times causing us to miss our connecting flight and now we have to wait 18 hours for the next one with no access to checked baggage so no clothes and toiletries. Nearly every flight around us was expecting delays. Had a timer saying boarding in 15 mins when plane had not even arrived in the terminal yet. What's the point of timers if you're just going to lie. Not just the delays were the issue, the service desk only had 1 person working with a line of 15 people waiting due to multiple delays. Horrible service, will never fly with them again. This was our 4th flight this month have flown delta, united and Alaska airlines and all were so much better."
28,"✅ Trip Verified | Very happy with my first time flying with American Airlines. Boarding process was speedy, and we found ourselves very lucky as there were only 57 passengers on board allowing everyone to spread around the aircraft and have the chance to lie down for what turned out to be a longer than usual, 8 hour 15 minutes flight. Soon after take-off the crew came by with a hot meal, with a choice of either vegetarian pasta or a rice and chicken dish. I opted for the latter and it was surprisingly delicious. Around 2 hours before landing the crew came around again to hand some ice cream, and then they serviced us one more time shortly before landing to give everyone a hot pocket. The cabin crew were very nice and attentive, and throughout the whole flight walked around the cabin to ensure everyone was comfortable. Overall, quite happy with my experience and will fly American Airlines again in the future if I have the opportunity."
29,"Not Verified | I have experienced unforeseen travel situations with other airlines, including United and Southwest, both of which showed empathy and flexibility. Even though my tickets were nonrefundable, they worked with me to either change my flights for free or issue a full credit or refund. Their customer service demonstrated genuine care for their customers and valued loyalty. American Airlines, on the other hand, has shown me exactly why I will never book with them again. I found myself in an awkward situation needing to cancel a non-refundable flight that was meant to be a gift. Rather than allowing the full credit to be transferred to the recipient, American Airlines deducted the $99 cancellation fee from the credit (per their policy)—a fee that amounts to nearly half the cost of the original ticket. Instead of showing even the smallest amount of understanding, American Airlines rigidly clung to its policy, offering no meaningful assistance. The $99 fee has effectively diminished the value of what was supposed to be a thoughtful gift. This experience has not only been disappointing but feels needlessly punitive. I want to be clear: this situation wasn’t entirely within my control. I didn’t choose to book with American Airlines, nor was I the one to purchase the group flights without considering refundability. (We have a group of 15 with all flights booked at once by someone in the group who was trying to help out.) Yet somehow, I’m the one penalized because American Airlines refuses to provide flexibility in situations that clearly call for some level of human empathy. For context, I travel frequently—4 to 5 domestic trips per month for work—and I’ve been researching airline credit cards to decide which one best fits my needs as a frequent flyer. This may have been an inexpensive This may have been an inexpensive, leisurely trip, but with my business expense card, I'm enabled to travel business class for 3 to 6 trips per month. I can say with certainty that I will not be choosing American Airlines. This experience has solidified my preference for other airlines that consistently prioritize customer service, loyalty, and common sense. To anyone reading this, I urge you to think carefully before booking with American Airlines. There are plenty of other carriers that offer better customer service and greater flexibility when “life happens.” American Airlines may not care about losing a customer like me, but if they’re wondering why they don’t command the loyalty of frequent travelers, this situation should provide some insight. Goodbye, American Airlines. You’ve lost not just one potential loyal customer but also my trust and recommendation."
30,"✅ Trip Verified |   I flew American Airlines Flagship First from Sydney to New York. The flight from Sydney was fantastic with a great and attentive crew, excellent food and a super comfortable ly-flat bed. Took so long for the luggage that I barely made my connecting flight to New York. Domestic First Class seats on the A321 are a bit claustrophobic and not so comfortable - only 1 flight attendant for 10 pax but he tried his best and the food was average. SYD to LAX = 9/10 LAX to JFK = 6/10"
31,✅ Trip Verified |   American Airlines again fails to be on time and flight attendants are just rude. Every flight I took on this trip was delayed. We have tried to give them another chance but this is the last time we will be flying American.
32,"✅ Trip Verified |   American Airlines messed up our itinerary to St. Croix, now we have to spend the night sleeping on the concrete floor somewhere in San Juan airport until the first flight at 7am. All the hotels in San Juan are fully booked and nothing available. Rotten start to our vacation. Plus they have lost our luggage. This is the second time American Airlines has ruined a vacation leaving me stranded in a strange place"
33,"Not Verified |  Even though the flight was late and I paid for First class (not frequent flyer miles), they refused to allow me to enter the Admirals Club. While the service was good, I think the food made me sick. I've flown in coach on American and they tiniest, most cramped seats you can imagine. Shame on them for treating people like cattle."
